Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_perc_Change,Trend,sma21,sma34,Trade Call,sma14,std14,Bollinger Upper,Bollinger Lower
2019-07-19,1964.52,1991.21,1996.0,1962.23,3.19,7,2019,-1.0631386512089391,Negative,1864.1133333333314,1836.219411764705,HODL,1897.5000000000014,82.78157357212376,2063.063147144249,1731.9368528557538
2019-07-18,1977.9,1980.01,1987.5,1951.55,3.5,7,2019,0.6810824018080863,Slight positive,1872.9385714285697,1840.254117647058,HODL,1910.6785714285727,79.55750681180189,2069.7935850521762,1751.563557804969
2019-07-17,1992.03,2007.05,2012.0,1992.03,2.56,7,2019,0.7143940543000049,Slight positive,1883.219999999998,1845.8838235294108,HODL,1925.264285714287,73.81371570632137,2072.89171712693,1777.6368543016442
2019-07-16,2009.9,2010.58,2026.32,2001.22,2.62,7,2019,0.8970748432503672,Slight positive,1894.9790476190458,1852.3561764705873,HODL,1942.7478571428585,60.809159884216406,2064.3661769112914,1821.1295373744256
2019-07-15,2020.99,2021.4,2022.9,2001.55,2.98,7,2019,0.5517687447136543,Slight positive,1904.3433333333317,1859.5532352941168,HODL,1956.8728571428585,53.4338464370194,2063.7405500168975,1850.0051642688197
2019-07-12,2011.0,2008.27,2017.0,2003.87,2.51,7,2019,-0.4943121935289119,Slight or No change,1915.109047619046,1866.1591176470579,HODL,1967.9928571428586,46.41194349411723,2060.816744131093,1875.168970154624
2019-07-11,2001.07,2025.62,2035.8,1995.3,4.32,7,2019,-0.4937841869716575,Slight or No change,1924.3228571428554,1873.124411764705,HODL,1977.5850000000014,36.75785269320592,2051.100705386413,1904.0692946135896
2019-07-10,2017.41,1996.51,2024.94,1995.4,4.93,7,2019,0.8165631387207828,Slight positive,1933.1095238095222,1880.6414705882344,HODL,1986.0764285714301,30.244761938645198,2046.5659524487205,1925.5869046941398
2019-07-09,1988.3,1947.8,1990.01,1943.47,4.35,7,2019,-1.4429392141409147,Negative,1942.3904761904746,1887.095294117646,HODL,1991.4942857142871,21.59921996963673,2034.6927256535605,1948.2958457750137
2019-07-08,1952.32,1934.12,1956.0,1928.25,2.88,7,2019,-1.8095860785595772,Negative,1950.2233333333318,1893.0570588235285,HODL,1992.15642857143,20.089185229542412,2032.334799030515,1951.9780581123453
2019-07-05,1942.91,1928.6,1945.9,1925.3,2.63,7,2019,-0.4819906572692934,Slight or No change,1958.6890476190463,1897.095588235293,HODL,1989.948571428573,23.643540297557944,2037.2356520236888,1942.661490833457
2019-07-03,1939.0,1935.89,1941.59,1930.5,1.69,7,2019,-0.20124452496513845,Slight or No change,1964.2014285714274,1900.4914705882345,HODL,1985.5335714285727,26.993042011470553,2039.519655451514,1931.5474874056315
2019-07-02,1934.31,1919.38,1934.79,1906.63,2.65,7,2019,-0.24187725631769075,Slight or No change,1967.962857142856,1904.4011764705876,HODL,1981.2350000000013,30.073070946511105,2041.3811418930234,1921.0888581069792
2019-07-01,1922.19,1922.98,1929.82,1914.66,3.2,7,2019,-0.6265800207825967,Slight negative,1970.6014285714275,1907.5208823529404,HODL,1976.7035714285726,33.89643380542141,2044.4964390394155,1908.9107038177297
