Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-08-18,BAJFINANCE,EQ,1728.75,1710,1722.9,1688.5,1701,1704.95,1705.49,932335,1590085129.45,52990,463361,49.7,-0.002953216374269,0.02037311222979,0.008468713355818,0.01807659995973,-1
2017-08-21,BAJFINANCE,EQ,1704.95,1704.95,1731,1678.55,1685.2,1690.6,1712.76,1090057,1867000636.5,38619,706412,64.81,-0.008416669110531,0.031247207411159,-0.000526921762449,0.009979450435559,-1
2017-08-22,BAJFINANCE,EQ,1690.6,1708,1713.6,1662.55,1683,1682.9,1690.26,654334,1105993187.3,26671,181249,27.7,-0.014695550351288,0.03070584343328,-0.003266318018295,0.008419663382328,-1
2017-08-23,BAJFINANCE,EQ,1682.9,1695.9,1784.7,1695.9,1779,1779.3,1750.64,1825088,3195076772.9,63224,560673,30.72,0.049177427914382,0.052361577923227,0.006968517218499,0.028887866725389,-1
2017-08-24,BAJFINANCE,EQ,1779.3,1791.4,1797.7,1752.8,1761.9,1760.1,1772.56,1324532,2347815321.65,38863,509761,38.49,-0.017472367980351,0.025616157005934,0.003950574855335,0.030003170063922,-1
2017-08-28,BAJFINANCE,EQ,1760.1,1773.5,1837.4,1767,1831,1829.95,1813.4,1347345,2443272982.2,51479,438245,32.53,0.031829715252326,0.039841539332202,0.014641058449186,0.031592628639021,-1
2017-08-29,BAJFINANCE,EQ,1829.95,1835,1835,1762,1770,1773.4,1793,1482257,2657680345.45,49517,513073,34.61,-0.033569482288828,0.041430192962543,0.010143895536409,0.036857189919059,-1
2017-08-30,BAJFINANCE,EQ,1773.4,1798,1819.4,1777.05,1788,1788.05,1801.47,1064601,1917843415.45,32167,301971,28.36,-0.005533926585095,0.023831631073971,0.012707008263252,0.036015489114644,-1
2017-08-31,BAJFINANCE,EQ,1788.05,1797.4,1805.7,1770,1790,1781.9,1787.47,1116765,1996186848.4,32145,568768,50.93,-0.008623567375097,0.020169491525424,0.000562693514197,0.026099872245633,-1
2017-09-01,BAJFINANCE,EQ,1781.9,1790,1807,1790,1799.95,1799.95,1799.21,489396,880526551.2,19357,144505,29.53,0.005558659217877,0.009497206703911,0.004746772977363,0.025494637720383,-1
2017-09-04,BAJFINANCE,EQ,1799.95,1797.95,1820,1775.55,1801,1801.35,1798.73,658965,1185298372,25495,132434,20.1,0.001891042576267,0.025034496353243,-0.003034716177279,0.016524256835266,-1
2017-09-05,BAJFINANCE,EQ,1801.35,1809.85,1815.3,1784.55,1793,1794.4,1798.68,741229,1333236271.8,30165,269209,36.32,-0.008536619056828,0.017231234765067,0.002374137067999,0.006519038996565,-1
2017-09-06,BAJFINANCE,EQ,1794.4,1782,1883,1777.7,1859.7,1858.95,1845.35,2742892,5061604598.8,66627,683408,24.92,0.043181818181818,0.059233841480565,0.007916548980584,0.016663061486617,-1
